id;codigo;nome;descricao;valor;valorcusto;estoque;data;imagem;ultima_compra
;7898954857725; bisc. rech futurinho 80g;produto teste;1,3;1,5;100;;;
;169; Coroa 32 dentes cores;produto teste;8;1,5;100;;;
;2010000000649;Abajur Variados;produto teste;13,5;1,5;100;;;
;7897393500964;abc do estudante ;produto teste;0,7;1,5;100;;;
;878956;Abraç 20mm aço;produto teste;1;1,5;100;;;
;878952;Abraç 22a32 aço;produto teste;2,3;1,5;100;;;
;878951;Abraç 25a38 aço;produto teste;2,5;1,5;100;;;
;878953;Abraç 38a51 aço;produto teste;2,8;1,5;100;;;
;878955;Abraç 64a83 aço ;produto teste;3;1,5;100;;;
;878954;Abraç 89a108 aço;produto teste;4;1,5;100;;;
;878950;Abraç 9a13 aço;produto teste;1,5;1,5;100;;;
;878949;Abraç aço 13a19 verm;produto teste;2,5;1,5;100;;;
;7898105771689;ABRAC NYLON BRANCA 4.8 X28;produto teste;0,4;1,5;100;;;
;7899726204969;ABRAC NYLON branca 7,6mmX500mm;produto teste;1;1,5;100;;;
;7898105771658;ABRAC NYLON PRETA 4.8X28;produto teste;0,3;1,5;100;;;
;7899726205102;ABRAC NYLON PRETA 7,6mmX500mm;produto teste;1;1,5;100;;;
;878957;Abraç7-9mm aço;produto teste;1;1,5;100;;;
;2990042;abraçadeira de aço 3/4;produto teste;1,5;1,5;100;;;
;141;Abraçadeira metalica 1/2;produto teste;1,5;1,5;100;;;
;142;Abraçadeira metalica 3/4;produto teste;1,5;1,5;100;;;
;7898105771627;ABRAÇADEIRA NYLON PRETA 3.5 X28mm;produto teste;0,2;1,5;100;;;
;7899653780970;abridor de garrafas original;produto teste;3,3;1,5;100;;;
;7899755614791;abridor de latas e garrafas wincy;produto teste;4;1,5;100;;;
;7899653786101;Abridor multiuso;produto teste;6,5;1,5;100;;;
;7500435127226;abs always seca com/abas;produto teste;3,9;1,5;100;;;
;7896914002086;abs delux suave com abas 16 un ;produto teste;4,9;1,5;100;;;
;7891010245092;Abs int ob sp proconfort 16un;produto teste;18;1,5;100;;;
;7896007540259;abs intimus 15 un sem perfume ;produto teste;4,5;1,5;100;;;
;7896007540662;abs intimus not com abas suave 8un;produto teste;5,25;1,5;100;;;
;7896007548101;abs intimus ultra flex prot diario;produto teste;8,5;1,5;100;;;
;7896064442367;abs max noturno c/abas com 10unid;produto teste;5,75;1,5;100;;;
;7896064443029;Abs max noturno com 16 ;produto teste;8,25;1,5;100;;;
;7896064442381;Abs max noturno sem abas cm 10;produto teste;5,5;1,5;100;;;
;7896064471015;Abs naturalmente max parto c/abas ;produto teste;4,5;1,5;100;;;
;7891010952952;abs ob medio 10uni ;produto teste;12,5;1,5;100;;;
;7891010793463;ABS semp liv adapt tq sv c/ab 16un;produto teste;8,5;1,5;100;;;
;7891010973483;abs sempre livre suave c/ abas promo;produto teste;4,25;1,5;100;;;
;7896110003221;abs sym c/abas odor block;produto teste;3;1,5;100;;;
;7896007545094;Absorvente  intimus suave c/ abas c/16;produto teste;6,95;1,5;100;;;
;7898217067977;ABSORVENTE ACTIVA GEL VALOR C/ ABAS C/8;produto teste;2,5;1,5;100;;;
;7500435127257;Absorvente Always c/16;produto teste;6,95;1,5;100;;;
;7500435127240;Absorvente always suave c/ abas;produto teste;3,9;1,5;100;;;
;7898067950948;absorvente clinof 8un s/ abas;produto teste;2,35;1,5;100;;;
;7898067950955;absorvente clinoff 8un c/ abas;produto teste;2,35;1,5;100;;;
;7896914000235;ABSORVENTE DELUX SUAVE C/ ABAS C/ 8UND;produto teste;2,75;1,5;100;;;
;7896914000242;ABSORVENTE DELUX SUAVE S/ ABAS C/ 8UN;produto teste;2,75;1,5;100;;;
;7896914002109;ABSORVENTE DELUX TEEN C/ 16;produto teste;4,9;1,5;100;;;
;7896007547647;Absorvente intimus com abas ;produto teste;3,9;1,5;100;;;
;7896007547685;Absorvente intimus noturno suav c/abas leve 9 pague 8;produto teste;5,25;1,5;100;;;
;7896007545100;Absorvente intimus seca c/ abas 16 un ;produto teste;6,95;1,5;100;;;
;7896007542437;ABSORVENTE INTIMUS SECA C/ ABAS C/8;produto teste;5,25;1,5;100;;;
;7896007540631;ABSORVENTE INTIMUS SECA C/ ABAS C/8UND;produto teste;3,9;1,5;100;;;
;7896007540617;ABSORVENTE INTIMUS SUAV C/ ABAS C/8;produto teste;3,9;1,5;100;;;
;7896007547654;Absorvente intimus suav com abas 8 un;produto teste;3,9;1,5;100;;;
;7896007540600;Absorvente intimus suav sem abas 8 un ;produto teste;3,9;1,5;100;;;
;7896061980015;absorvente ladysoft 8un c abas ;produto teste;2,5;1,5;100;;;
;7896061980183;Absorvente ladysoft noturno 16un;produto teste;7,9;1,5;100;;;
;7896061980012;absorvente ladysoft suav c/ abas c/8;produto teste;2,5;1,5;100;;;
;7896061980169;Absorvente ladysoftsuav c/ 16un c/ abas;produto teste;4,9;1,5;100;;;
;7896061980176;ABSORVENTE LADYSOT NOTURNO C/8;produto teste;4,9;1,5;100;;;
;7896104993941;ABSORVENTE MILI SUAVE C/ABAS 8 UN;produto teste;2,75;1,5;100;;;
;7891010579616;Absorvente sempre livre leve 16 pague menos;produto teste;8,5;1,5;100;;;
;7891010694593;Absorvente sempre livre not sec com abas 8un;produto teste;7,5;1,5;100;;;
;7891010035631;Absorvente sempre livre notur suav c/ com abas 8un;produto teste;7,5;1,5;100;;;
;7891010607135;ABSORVENTE SEMPRE LIVRE NOTURNO SUAV C/ABAS C/16;produto teste;8,9;1,5;100;;;
;7891010031633;Absorvente sempre livre suav c/ abas c/8;produto teste;4,25;1,5;100;;;
